agency,subagency,institution,agency_url
Department of Defense,  Defense Agencies,    Defense Contract Management Agency,https://www.dcma.mil/
Department of Defense,  Defense Agencies,    Defense Information Systems Agency,https://www.disa.mil/
Department of Defense,  Defense Agencies,    Defense Logistics Agency,https://www.dla.mil/
Department of Defense,  Defense Agencies,    Defense Nuclear Agency,
Department of Defense,  Defense Agencies,    Defense Security Service,https://www.dcsa.mil/
Department of Defense,  Defense Agencies,    Defense Special Weapons Agency ,
Department of Defense,  Defense Agencies,    Defense Technical Information Center,https://discover.dtic.mil/
Department of Defense,  Defense Agencies,    Defense Threat Reduction Agency,https://www.dtra.mil/
Department of Defense,  Defense Agencies,    Joint Staff,https://www.jcs.mil/
Department of Defense,  Defense Agencies,    Missile Defense Agency,https://www.mda.mil/
Department of Defense,  Defense Agencies,    National Imagery and Mapping Agency (formerly Defense Mapping Agency),https://www.nga.mil/
Department of Defense,  Defense Agencies,    Special Operations Command,https://www.socom.mil/
Department of Defense,  Defense Agencies,    Uniformed Services University of the Health Sciences,https://www.usuhs.edu/
Department of Defense,  Defense Agencies,    Office of the Secretary of Defense,https://www.defense.gov/Our-Story/Office-of-the-Secretary-of-Defense/
Department of Defense,  Defense Agencies,    Washington Headquarters Services,https://www.whs.mil/
Department of Defense,  Defense Civil Preparedness Agency,,
Department of Defense,  Department of the Air Force,,https://www.af.mil/
Department of Defense,  Department of the Air Force,    DT&E Support From Operations and Maintenance,
Department of Defense,  Department of the Air Force,    DT&E Support From Procurement Appropriations,
Department of Defense,  Department of the Air Force,    Housing for Military Personnel in R&D,
Department of Defense,  Department of the Air Force,    Materiel Command,https://www.amc.army.mil/
Department of Defense,  Department of the Air Force,    Military Construction,
Department of Defense,  Department of the Air Force,    Pay and Allowances of Military Personnel in R&D,
Department of Defense,  Department of the Air Force,    RDT&E Appropriation,
Department of Defense,  Department of the Air Force,    Space Command,
Department of Defense,  Department of the Air Force,    Special Foreign Currency Program,
Department of Defense,  Department of the Air Force,  Department of the Army,https://www.army.mil/
Department of Defense,  Department of the Air Force,    Civil Functions,
Department of Defense,  Department of the Air Force,    Housing for Military Personnel in R&D,
Department of Defense,  Department of the Air Force,    Military Construction,
Department of Defense,  Department of the Air Force,    Military Functions,
Department of Defense,  Department of the Air Force,    Pay and Allowances of Military Personnel in R&D,
Department of Defense,  Department of the Air Force,    RDT&E Appropriation,
Department of Defense,  Department of the Air Force,    Special Foreign Currency Program,
Department of Defense,  Department of the Air Force,    Support From Procurement Appropriations,
Department of Defense,  Department of the Navy,,https://www.navy.mil/
Department of Defense,  Department of the Navy,    DT&E Support From Operations and Maintenance,
Department of Defense,  Department of the Navy,    DT&E Support From Procurement Appropriations,
Department of Defense,  Department of the Navy,    Housing for Military Personnel in R&D,
Department of Defense,  Department of the Navy,    Military Construction,
Department of Defense,  Department of the Navy,    Pay and Allowances of Military Personnel in R&D,
Department of Defense,  Department of the Navy,    RDT&E Appropriation,
Department of Defense,  Department of the Navy,    Special Foreign Currency Program,
Department of Defense,  Department of the Navy,"  Health Affairs, Assistant Secretary of Defense for",https://www.health.mil/About-MHS/OASDHA
Department of Defense,  Department of the Navy,"  Operational Test and Evaluation, Director",https://www.dote.osd.mil/
Department of Defense,  Department of the Navy,"  Test and Evaluation, Deputy Under Secretary of Defense",https://www.defense.gov/Our-Story/Biographies/Biography/Article/1815832/timothy-s-dare/
Department of Education,Department of Education,,https://www.ed.gov/
Department of Energy,Department of Energy,,https://www.energy.gov/
Department of Energy,  Advanced Research Projects Agency-Energy (formerly Energy Transformation Acceleration Fund),,https://arpa-e.energy.gov/
Department of Energy,  Bonneville Power Administration,,https://www.bpa.gov/Pages/home.aspx
Department of Energy,  Civilian Radioactive Waste Management,,
Department of Energy,  Electricity Delivery and Energy Reliability,,https://www.energy.gov/oe/downloads/us-department-energy-office-electricity-delivery-energy-reliability-transmission
Department of Energy,  Energy Efficiency and Renewable Energy,,https://www.energy.gov/eere/office-energy-efficiency-renewable-energy
Department of Energy,  Environmental Management,,https://www.energy.gov/em/office-environmental-management
Department of Energy,  Fossil Energy,,https://www.energy.gov/fe/office-fossil-energy
Department of Energy,  National Nuclear Security Administration,,https://www.energy.gov/nnsa/national-nuclear-security-administration
Department of Energy,    Defense Programs,,https://www.energy.gov/srs/programs/defense-programs
Department of Energy,    Fissile Materials Disposition,,https://www.energy.gov/em/services/waste-management/nuclear-materials-disposition
Department of Energy,    Naval Reactors,,https://www.energy.gov/nnsa/missions/powering-navy
Department of Energy,    Nuclear Nonproliferation,,https://www.energy.gov/nnsa/missions/nonproliferation
Department of Energy,  Nuclear Energy,,https://www.energy.gov/ne/office-nuclear-energy
Department of Energy,  Office of Intelligence,,https://www.energy.gov/intelligence/office-intelligence-and-counterintelligence
Department of Energy,  Office of Science,,https://www.energy.gov/science/office-science
Department of Health and Human Services,Department of Health and Human Services,,https://www.hhs.gov/
Department of Health and Human Services,  Administration for Children and Families,,https://www.acf.hhs.gov/
Department of Health and Human Services,  Administration on Aging,,https://acl.gov/about-acl/administration-aging
Department of Health and Human Services,  Agency for Healthcare Research and Quality (formerly Agency for Health Care Policy and Research),,https://www.ahrq.gov/
Department of Health and Human Services,  Agency for Toxic Substances and Disease Registry,,https://www.atsdr.cdc.gov/
Department of Health and Human Services,"  Alcohol, Drug Abuse, and Mental Health Administration",,
Department of Health and Human Services,  Centers for Disease Control and Prevention,,https://www.cdc.gov/
Department of Health and Human Services,  Centers for Medicare & Medicaid Services (formerly Health Care Financing Administration),,https://www.cms.gov/
Department of Health and Human Services,  Food and Drug Administration,,https://www.fda.gov/home
Department of Health and Human Services,  Health Resources Administration,,
Department of Health and Human Services,  Health Resources and Services Administration,,https://www.hrsa.gov/
Department of Health and Human Services,  Health Services Administration,,
Department of Health and Human Services,  Human Development Services,,
Department of Health and Human Services,  National Institutes of Health,,https://www.nih.gov/
Department of Health and Human Services,  Office of the Assistant Secretary for Health,,https://www.hhs.gov/ash/index.html
Department of Health and Human Services,  Office of the Secretary of Health and Human Services,,https://www.hhs.gov/about/leadership/secretary/index.html
Department of Health and Human Services,    Office of the Assistant Secretary for Planning and Evaluation,,https://aspe.hhs.gov/
Department of Health and Human Services,    Office of the Assistant Secretary for Health (formerly Office of Public Health and Science),,https://www.hhs.gov/ash/index.html
Department of Health and Human Services,  Social Security Administration,,https://www.ssa.gov/
Department of Health and Human Services,  Substance Abuse and Mental Health Services Administration,,https://www.samhsa.gov/
Department of Homeland Security,Department of Homeland Security,,https://www.dhs.gov/
Department of Homeland Security,  Countering Weapons of Mass Destruction Office,,https://www.dhs.gov/taxonomy/term/8359/all/feed
Department of Homeland Security,  Cybersecurity and Infrastructure Security Agency,,https://www.cisa.gov/
Department of Homeland Security,  Science and Technology Directorate,,https://www.dhs.gov/science-and-technology
Department of Homeland Security,  Transportation Security Administration,,https://www.tsa.gov/
Department of Homeland Security,  U.S. Coast Guard,,
Department of Homeland Security,  U.S. Secret Service,,https://www.secretservice.gov/
Department of Housing and Urban Development,Department of Housing and Urban Development,,https://www.hud.gov/
Department of the Interior,Department of the Interior,,https://www.doi.gov/
Department of the Interior,  Bonneville Power Administration,,
Department of the Interior,  Bureau of Indian Affairs,,https://www.bia.gov/
Department of the Interior,  Bureau of Land Management,,https://www.blm.gov/
Department of the Interior,  Bureau of Mines,,
Department of the Interior,  Bureau of Ocean Energy Management,,https://www.boem.gov/
Department of the Interior,"  Bureau of Ocean Energy Management, Regulation, & Enforcement (formerly Minerals Management Service)",,
Department of the Interior,  Bureau of Reclamation,,https://www.usbr.gov/
Department of the Interior,  Bureau of Safety and Environmental Enforcement,,https://www.bsee.gov/
Department of the Interior,  Federal Water Pollution Control Administration,,
Department of the Interior,  Heritage Conservation and Recreation Service,,
Department of the Interior,  National Biological Service,,
Department of the Interior,  National Park Service,,https://www.nps.gov/index.htm
Department of the Interior,  Office of Coal Research,,
Department of the Interior,  Office of the Secretary of the Interior,,
Department of the Interior,  Office of Surface Mining Reclamation and Enforcement,,https://www.osmre.gov/
Department of the Interior,  Office of Water Research and Technology,,
Department of the Interior,  Office of Water Research and Technology,    Office of Saline Water,
Department of the Interior,  Office of Water Research and Technology,    Office of Water Resources Research,
Department of the Interior,  U.S. Fish and Wildlife Service,,https://www.fws.gov/
Department of the Interior,  U.S. Fish and Wildlife Service,    Bureau of Commercial Fisheries,
Department of the Interior,  U.S. Fish and Wildlife Service,    Bureau of Sport Fisheries and Wildlife,
Department of the Interior,  U.S. Geological Survey,,https://www.usgs.gov/
Department of Justice,Department of Justice,,https://www.justice.gov/
Department of Justice,  Bureau of Prisons,,https://www.bop.gov/
Department of Justice,  Drug Enforcement Administration,,https://www.dea.gov/
Department of Justice,  Federal Bureau of Investigation,,https://www.fbi.gov/
Department of Justice,  Immigration and Naturalization Service,,https://www.uscis.gov/
Department of Justice,  Office of Justice Programs,,https://www.ojp.gov/
Department of Justice,  Office of Legal Policy,,https://www.justice.gov/olp
Department of Justice,Department of Labor,,https://www.dol.gov/
Department of Justice,  Bureau of Apprenticeship and Training,,
Department of Justice,  Bureau of Employment Security,,
Department of Justice,  Bureau of Labor Statistics,,https://www.bls.gov/
Department of Justice,  Employee Benefits Security Administration,,https://www.dol.gov/agencies/ebsa
Department of Justice,  Employment and Training Administration,,https://www.dol.gov/agencies/eta
Department of Justice,  Employment Standards Administration,,
Department of Justice,  Labor-Management Relations and Cooperative Programs,,
Department of Justice,  Labor-Management Services Administration,,
Department of Justice,  Occupational Safety and Health Administration,,https://www.osha.gov/
Department of Justice,  Office of the Secretary of Labor,,https://www.dol.gov/agencies/osec
Department of Justice,  Pension Benefit Guaranty Corporation,,https://www.pbgc.gov/
Department of Justice,  Wage and Hour Division,,https://www.dol.gov/agencies/whd
Department of State,Department of State,,https://www.state.gov/
Department of State,  Agency for International Development,,
Department of State,  Bureau of Intelligence and Research,,https://www.state.gov/bureaus-offices/bureaus-and-offices-reporting-directly-to-the-secretary/bureau-of-intelligence-and-research/
Department of State,  Departmental Funds,,
Department of State,  Peace Corps,,https://www.peacecorps.gov/
Department of Transportation,Department of Transportation,,https://www.transportation.gov/
Department of Transportation,  Federal Aviation Administration,,https://www.faa.gov/
Department of Transportation,  Federal Highway Administration,,https://cms8.fhwa.dot.gov/
Department of Transportation,  Federal Motor Carrier Safety Administration,,https://www.fmcsa.dot.gov/
Department of Transportation,  Federal Railroad Administration,,https://railroads.dot.gov/
Department of Transportation,  Federal Transit Administration,,https://www.transit.dot.gov/
Department of Transportation,  Maritime Administration,,https://www.maritime.dot.gov/
Department of Transportation,  Materials Transportation Bureau,,
Department of Transportation,  National Highway Traffic Safety Administration,,https://www.nhtsa.gov/
Department of Transportation,  Office of the Secretary of Transportation,,https://www.transportation.gov/office-of-secretary
Department of Transportation,  Pipeline and Hazardous Materials Safety Administration,,https://www.phmsa.dot.gov/
Department of Transportation,  Research and Innovative Technology Administration,,
Department of Transportation,  Research and Special Programs Administration,,
Department of Transportation,  Transportation Security Administration,,https://www.tsa.gov/
Department of Transportation,  U.S. Coast Guard,,
Department of the Treasury,Department of the Treasury,,https://home.treasury.gov/
Department of the Treasury,"  Bureau of Alcohol, Tobacco, and Firearms",,https://www.atf.gov/
Department of the Treasury,  Bureau of Engraving and Printing,,https://www.moneyfactory.gov/
Department of the Treasury,  Financial Crimes Enforcement Network,,https://www.fincen.gov/
Department of the Treasury,  Internal Revenue Service,,https://www.irs.gov/
Department of the Treasury,  Office of Thrift Supervision,,
Department of the Treasury,  U.S. Customs Service,,https://www.cbp.gov/
Department of the Treasury,  U.S. Mint,,https://www.usmint.gov/
Department of the Treasury,  U.S. Secret Service,,
Department of Veterans Affairs,Department of Veterans Affairs,,https://www.va.gov/
u.s. independent agency,u.s. independent agency,,
u.s. independent agency,  ACTION,,
u.s. independent agency,  Administrative Office of the U.S. Courts,,https://www.uscourts.gov/topics/administrative-office-us-courts
u.s. independent agency,  Advisory Commission on Intergovernmental Relations,,
u.s. independent agency,  Agency for International Development,,https://www.usaid.gov/
u.s. independent agency,  Appalachian Regional Commission,,https://www.arc.gov/
u.s. independent agency,  Atomic Energy Commission,,
u.s. independent agency,  Broadcasting Board of Governors,,https://www.usagm.gov/
u.s. independent agency,  Civil Aeronautics Board,,
u.s. independent agency,  Civil Service Commission,,
u.s. independent agency,  Community Services Administration,,
u.s. independent agency,  Consumer Product Safety Commission,,https://www.cpsc.gov/
u.s. independent agency,  Energy Research and Development Administration,,
u.s. independent agency,  Environmental Protection Agency,,https://www.epa.gov/
u.s. independent agency,  Federal Communications Commission,,https://www.fcc.gov/
u.s. independent agency,  Federal Emergency Management Agency,,
u.s. independent agency,  Federal Energy Administration,,
u.s. independent agency,  Federal Trade Commission,,https://www.ftc.gov/
u.s. independent agency,  Foundation for Educational Assistance,,
u.s. independent agency,  General Services Administration,,https://www.gsa.gov/
u.s. independent agency,  International Development Cooperation Agency,,
u.s. independent agency,  International Development Cooperation Agency,    Agency for International Development,
u.s. independent agency,  International Development Cooperation Agency,    Institute for Scientific and Technological Cooperation,
u.s. independent agency,  Interstate Commerce Commission,,
u.s. independent agency,  Library of Congress,,https://www.loc.gov/
u.s. independent agency,  National Aeronautics and Space Administration,,https://www.nasa.gov/
u.s. independent agency,  National Archives and Records Administration,,https://www.archives.gov/
u.s. independent agency,  National Science Foundation,,https://www.nsf.gov/
u.s. independent agency,  Nuclear Regulatory Commission,,https://www.nrc.gov/
u.s. independent agency,  Office of Economic Opportunity,,
u.s. independent agency,  Office of Emergency Preparedness,,
u.s. independent agency,  Office of Personnel Management,,https://www.opm.gov/
u.s. independent agency,  Office of Science and Technology,,https://www.whitehouse.gov/ostp/
u.s. independent agency,  Office of Telecommunications Policy,,
u.s. independent agency,  Office of Thrift Supervision,,
u.s. independent agency,  Patient-Centered Outcomes Research Trust Fund,,https://aspe.hhs.gov/patient-centered-outcomes-research-trust-fund
u.s. independent agency,  Small Business Administration,,https://www.sba.gov/
u.s. independent agency,  Smithsonian Institution,,https://www.si.edu/
u.s. independent agency,  Social Security Administration,,https://www.ssa.gov/
u.s. independent agency,  Special Action Office for Drug Abuse Prevention,,
u.s. independent agency,  Tennessee Valley Authority,,https://www.tva.com/
u.s. independent agency,  U.S. Arms Control and Disarmament Agency,,
u.s. independent agency,  U.S. Commission on Civil Rights,,https://www.usccr.gov/
u.s. independent agency,  U.S. Information Agency,,
u.s. independent agency,  U.S. International Trade Commission,,https://www.usitc.gov/
u.s. independent agency,  U.S. Postal Service,,https://www.usps.com/
