domain,n
dsp.ac.cn,1
dynam.ac,1
ecc.ac.jp,1
ece.ut.ac.ir,1
ed.ritsumei.ac.jp,1
edu.k.u-tokyo.ac.jp,1
edu.teu.ac.jp,1
edu.uca.ac.ma,1
edu.uiz.ac.ma,1
eidos.ic.i.u-tokyo.ac.jp,1
em.ci.ritsumei.ac.jp,1
email.kmutnb.ac.th,1
email.nu.ac.th,1
email.unikom.ac.id,1
eml.hiroshima-u.ac.jp,1
est.una.ac.cr,1
est.utn.ac.cr,1
etud.iga.ac.ma,1
fer.ac,1
fos.kuis.kyoto-u.ac.jp,1
fun.ac.jp,1
fun.bio.keio.ac.jp,1
g.ichinoseki.ac.jp,1
g.maizuru-ct.ac.jp,1
g.siit.tu.ac.th,1
g.sp.m.is.nagoya-u.ac.jp,1
ga.tera-house.ac.jp,1
go.buu.ac.th,1
grad.cse.buet.ac.bd,1
graphics.ci.i.u-tokyo.ac.jp,1
gsic.titech.ac.jp,1
hal.t.u-tokyo.ac.jp,1
hopf.sys.es.osaka-u.ac.jp,1
iamas.ac.jp,1
iaus.ac.ir,1
ic.is.tohoku.ac.jp,1
icrr.u-tokyo.ac.jp,1
ime.ac.cn,1
impcas.ac.cn,1
imtl.skku.ac.kr,1
incorl.hanyang.ac.kr,1
inl.ics.keio.ac.jp,1
ioa.s.u-tokyo.ac.jp,1
iphy.ac.cn,1
irvs.ait.kyushu-u.ac.jp,1
is.kochi-u.ac.jp,1
is.ocha.ac.jp,1
is.s.u-tokyo.ac.jp,1
iza.ac,1
joe.ac,1
k.mbox.nagoya-u.ac.jp,1
kanji.zinbun.kyoto-u.ac.jp,1
ktc.ac.jp,1
kuhp.kyoto-u.ac.jp,1
logic.cs.tsukuba.ac.jp,1
m.titech.ac.jp,1
mail.ihep.ac.cn,1
mail.sbu.ac.ir,1
mail4.doshisha.ac.jp,1
mat.eng.osaka-u.ac.jp,1
me.iut.ac.ir,1
media.teu.ac.jp,1
member.acm.org,1
mhs.is.its.ac.id,1
mhs.uinjkt.ac.id,1
mhs.unsyiah.ac.id,1
mikilab.doshisha.ac.jp,1
ml.sun.ac.za,1
mlw.ac,1
mma.cs.tsukuba.ac.jp,1
mrl.snu.ac.kr,1
ms.k.u-tokyo.ac.jp,1
mtl.t.u-tokyo.ac.jp,1
mwit.ac.th,1
nao.ac.jp,1
net.c.titech.ac.jp,1
niaot.ac.cn,1
nig.ac.jp,1
ninjal.ac.jp,1
nipr.ac.jp,1
nlp.ist.i.kyoto-u.ac.jp,1
northbkk.ac.th,1
o.cnu.ac.kr,1
office.bufs.ac.kr,1
office365.it.kmitl.ac.th,1
office365.sut.ac.th,1
opt.ac.cn,1
os.korea.ac.kr,1
phiz.c.u-tokyo.ac.jp,1
planet.kanazawa-it.ac.jp,1
polinema.ac.id,1
protein.osaka-u.ac.jp,1
psg.c.titech.ac.jp,1
psych.ac.cn,1
pukyong.ac.kr,1
qiau.ac.ir,1
qibebt.ac.cn,1
radi.ac.cn,1
res.ac,1
rit.kaist.ac.kr,1
rllab.snu.ac.kr,1
rm.is.tohoku.ac.jp,1
rmutl.ac.th,1
roboken.esys.tsukuba.ac.jp,1
robot.t.u-tokyo.ac.jp,1
rubis.snu.ac.kr,1
s.afeka.ac.il,1
s.itb.ac.id,1
s.okayama-u.ac.jp,1
s.tsukuba.ac.jp,1
saao.ac.za,1
salesio-sp.ac.jp,1
sanren.ac.za,1
sap.ist.i.kyoto-u.ac.jp,1
saya.ac.cn,1
scg.skku.ac.kr,1
sci.ui.ac.id,1
se.is.kit.ac.jp,1
se.kaist.ac.kr,1
sendai-nct.ac.jp,1
sf.snu.ac.kr,1
sfc.keio.ac.jp,1
shibarura-it.ac.jp,1
shino.ecei.tohoku.ac.jp,1
sibs.ac.cn,1
sju.ac.kr,1
softlab.cs.tsukuba.ac.jp,1
spa.hanyang.ac.kr,1
srru.ac.th,1
st.oit.ac.jp,1
staff.kanazawa-u.ac.jp,1
std.it-college.ac.jp,1
stimednp.ac.id,1
stis.ac.id,1
stmikbumigora.ac.id,1
stu.kagawa-u.ac.jp,1
stu.kln.ac.lk,1
stu.ucsc.cmb.ac.lk,1
student.alzahra.ac.ir,1
student.ce.undip.ac.id,1
student.cuet.ac.bd,1
student.itera.ac.id,1
student.mahidol.ac.th,1
student.uj.ac.za,1
student.umons.ac.be,1
student.untan.ac.id,1
students.dkut.ac.ke,1
students.ilkom.unsri.ac.id,1
students.undip.ac.id,1
students.usu.ac.id,1
sum.sd.keio.ac.jp,1
swave.smu.ac.za,1
sys.i.kyoto-u.ac.jp,1
sys.wakayama-u.ac.jp,1
tazkia.ac.id,1
titech.ac,1
tni.ac.th,1
tsukuba-g.ac.jp,1
uem.ac.mz,1
unf.ac.id,1
unikin.ac.cd,1
ut.ac.kr,1
vipl.ict.ac.cn,1
vision.is.tohoku.ac.jp,1
viz.media.kyoto-u.ac.jp,1
vss.it.aoyama.ac.jp,1
weblab.t.u-tokyo.ac.jp,1
white.ac.cn,1
windy.ac,1
ynu.ac.kr,1
